"Sample Name"	"Protocol REF"	"Parameter Value[randomized preparation number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[aliquot number]"	"Term Source REF"	"Term Accession Number"	"Comment[EI analysis notes]"	"Comment[GC analysis notes]"	"Comment[preparation notes]"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[chromatography column]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[randomized analysis order]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[block]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Index]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[index of position]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[order]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[order old]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ionization mode]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Factor Value[session]"	"Term Source REF"	"Term Accession Number"	"Factor Value[regimen]"	"Term Source REF"	"Term Accession Number"	"Comment[regimen]"	"Factor Value[time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[day]"	"Term Source REF"	"Term Accession Number"	"Factor Value[volunteer number]"	"Term Source REF"	"Term Accession Number"
"117"	"LCMS preparation"	"235"	""	""	""	""	""	""	""	""	"1401D117"	"1401D117"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"117"	""	""	"2"	""	""	"154"	""	""	"274"	""	""	"150"	""	""	"68"	""	""	"negative mode"	""	""	"1401D117"	"GSK_neg_block2_41r.cdf"	"1"	""	""	"no food intake; no exercise"	""	""	"D"	"1"	"hour"	""	""	"1"	""	""	"14"	""	""
"152"	"LCMS preparation"	"186"	""	""	""	""	""	""	""	""	"1501C152"	"1501C152"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"152"	""	""	"3"	""	""	"200"	""	""	"426"	""	""	"196"	""	""	"20"	""	""	"negative mode"	""	""	"1501C152"	"GSK_neg_block2_39r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"1"	"hour"	""	""	"1"	""	""	"15"	""	""
"233"	"LCMS preparation"	"244"	""	""	""	""	""	""	""	""	"0101A233"	"0101A233"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"233"	""	""	"4"	""	""	"305"	""	""	"639"	""	""	"301"	""	""	"33"	""	""	"negative mode"	""	""	"0101A233"	"GSK_neg_block3_68.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"1"	"hour"	""	""	"1"	""	""	"1"	""	""
"122"	"LCMS preparation"	"37"	""	""	""	""	""	""	""	""	"0201A122"	"0201A122"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"122"	""	""	"2"	""	""	"160"	""	""	"280"	""	""	"156"	""	""	"74"	""	""	"negative mode"	""	""	"0201A122"	"GSK_neg_block1_82r.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"1"	"hour"	""	""	"1"	""	""	"2"	""	""
"146"	"LCMS preparation"	"212"	""	""	""	""	""	""	""	""	"0601B146"	"0601B146"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"146"	""	""	"3"	""	""	"193"	""	""	"419"	""	""	"189"	""	""	"13"	""	""	"negative mode"	""	""	"0601B146"	"GSK_neg_block3_83.cdf"	"1"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"1"	"hour"	""	""	"1"	""	""	"6"	""	""
"157"	"LCMS preparation"	"195"	""	""	""	""	""	""	""	""	"0701C157"	"0701C157"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"157"	""	""	"3"	""	""	"207"	""	""	"433"	""	""	"203"	""	""	"27"	""	""	"negative mode"	""	""	"0701C157"	"GSK_neg_block2_45r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"1"	"hour"	""	""	"1"	""	""	"7"	""	""
"92"	"LCMS preparation"	"254"	""	""	"3"	""	""	""	""	"haemolysis"	"0801C092"	"0801C092"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"92"	""	""	"2"	""	""	"122"	""	""	"242"	""	""	"118"	""	""	"36"	""	""	"negative mode"	""	""	"0801C092"	"GSK_neg_block1_12r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"1"	"hour"	""	""	"1"	""	""	"8"	""	""
"141"	"LCMS preparation"	"171"	""	""	""	""	""	""	""	""	"0901C141"	"0901C141"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"141"	""	""	"2"	""	""	"184"	""	""	"304"	""	""	"180"	""	""	"98"	""	""	"negative mode"	""	""	"0901C141"	"GSK_neg_block3_65.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"1"	"hour"	""	""	"1"	""	""	"9"	""	""
"32"	"LCMS preparation"	"88"	""	""	""	""	""	""	""	""	"1004A032"	"1004A032"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"32"	""	""	"1"	""	""	"43"	""	""	"55"	""	""	"40"	""	""	"50"	""	""	"negative mode"	""	""	"1004A032"	"GSK_neg_block2_53r.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"4"	"hour"	""	""	"1"	""	""	"10"	""	""
"208"	"LCMS preparation"	"223"	""	""	""	""	""	""	""	""	"1404D208"	"1404D208"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"208"	""	""	"3"	""	""	"270"	""	""	"497"	""	""	"266"	""	""	"91"	""	""	"negative mode"	""	""	"1404D208"	"GSK_neg_block2_101r.cdf"	"1"	""	""	"no food intake; no exercise"	""	""	"D"	"4"	"hour"	""	""	"1"	""	""	"14"	""	""
"73"	"LCMS preparation"	"31"	""	""	""	""	""	""	""	""	"1504C073"	"1504C073"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"73"	""	""	"2"	""	""	"99"	""	""	"218"	""	""	"95"	""	""	"12"	""	""	"negative mode"	""	""	"1504C073"	"GSK_neg_block4_58.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"4"	"hour"	""	""	"1"	""	""	"15"	""	""
"199"	"LCMS preparation"	"168"	""	""	""	""	""	""	""	""	"0104A199"	"0104A199"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"199"	""	""	"3"	""	""	"259"	""	""	"486"	""	""	"255"	""	""	"80"	""	""	"negative mode"	""	""	"0104A199"	"GSK_neg_block4_35.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"4"	"hour"	""	""	"1"	""	""	"1"	""	""
"156"	"LCMS preparation"	"99"	""	""	""	""	""	""	""	""	"0204A156"	"0204A156"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"156"	""	""	"3"	""	""	"205"	""	""	"431"	""	""	"201"	""	""	"25"	""	""	"negative mode"	""	""	"0204A156"	"GSK_neg_block2_73r.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"4"	"hour"	""	""	"1"	""	""	"2"	""	""
"163"	"LCMS preparation"	"188"	""	""	""	""	""	""	""	""	"0604B163"	"0604B163"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"163"	""	""	"3"	""	""	"214"	""	""	"441"	""	""	"210"	""	""	"35"	""	""	"negative mode"	""	""	"0604B163"	"GSK_neg_block4_89.cdf"	"1"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"4"	"hour"	""	""	"1"	""	""	"6"	""	""
"149"	"LCMS preparation"	"13"	""	""	""	""	""	""	""	""	"0704C149"	"0704C149"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"149"	""	""	"3"	""	""	"197"	""	""	"423"	""	""	"193"	""	""	"17"	""	""	"negative mode"	""	""	"0704C149"	"GSK_neg_block2_23r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"4"	"hour"	""	""	"1"	""	""	"7"	""	""
"268"	"LCMS preparation"	"7"	""	""	""	""	""	""	""	""	"0804C268"	"0804C268"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"268"	""	""	"4"	""	""	"348"	""	""	"682"	""	""	"344"	""	""	"76"	""	""	"negative mode"	""	""	"0804C268"	"GSK_neg_block1_88r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"4"	"hour"	""	""	"1"	""	""	"8"	""	""
"34"	"LCMS preparation"	"281"	""	""	""	""	""	""	""	""	"0904C034"	"0904C034"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"34"	""	""	"1"	""	""	"46"	""	""	"58"	""	""	"43"	""	""	"53"	""	""	"negative mode"	""	""	"0904C034"	"GSK_neg_block2_30r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"4"	"hour"	""	""	"1"	""	""	"9"	""	""
"184"	"LCMS preparation"	"89"	""	""	""	""	""	""	""	""	"1005A184"	"1005A184"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"184"	""	""	"3"	""	""	"240"	""	""	"467"	""	""	"236"	""	""	"61"	""	""	"negative mode"	""	""	"1005A184"	"GSK_neg_block3_56.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"5"	"hour"	""	""	"1"	""	""	"10"	""	""
"10"	"LCMS preparation"	"150"	""	""	""	""	""	""	""	""	"1405D010"	"1405D010"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"10"	""	""	"1"	""	""	"17"	""	""	"28"	""	""	"14"	""	""	"23"	""	""	"negative mode"	""	""	"1405D010"	"GSK_neg_block4_13.cdf"	"1"	""	""	"no food intake; no exercise"	""	""	"D"	"5"	"hour"	""	""	"1"	""	""	"14"	""	""
"256"	"LCMS preparation"	"40"	""	""	""	""	""	""	""	""	"1505C256"	"1505C256"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"256"	""	""	"4"	""	""	"333"	""	""	"667"	""	""	"329"	""	""	"61"	""	""	"negative mode"	""	""	"1505C256"	"GSK_neg_block4_101.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"5"	"hour"	""	""	"1"	""	""	"15"	""	""
"71"	"LCMS preparation"	"232"	""	""	""	""	""	""	""	""	"0105A071"	"0105A071"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"71"	""	""	"1"	""	""	"92"	""	""	"104"	""	""	"89"	""	""	"99"	""	""	"negative mode"	""	""	"0105A071"	"GSK_neg_block3_14.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"5"	"hour"	""	""	"1"	""	""	"1"	""	""
"165"	"LCMS preparation"	"259"	""	""	""	""	""	""	""	""	"0205A165"	"0205A165"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"165"	""	""	"3"	""	""	"217"	""	""	"444"	""	""	"213"	""	""	"38"	""	""	"negative mode"	""	""	"0205A165"	"GSK_neg_block2_88r.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"5"	"hour"	""	""	"1"	""	""	"2"	""	""
"255"	"LCMS preparation"	"97"	""	""	""	""	""	""	""	""	"0605B255"	"0605B255"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"255"	""	""	"4"	""	""	"332"	""	""	"666"	""	""	"328"	""	""	"60"	""	""	"negative mode"	""	""	"0605B255"	"GSK_neg_block1_68r.cdf"	"1"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"5"	"hour"	""	""	"1"	""	""	"6"	""	""
"148"	"LCMS preparation"	"94"	""	""	"3"	""	""	""	""	""	"0705C148"	"0705C148"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"148"	""	""	"3"	""	""	"195"	""	""	"421"	""	""	"191"	""	""	"15"	""	""	"negative mode"	""	""	"0705C148"	"GSK_neg_block2_68r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"5"	"hour"	""	""	"1"	""	""	"7"	""	""
"110"	"LCMS preparation"	"109"	""	""	""	""	""	""	""	""	"0805C110"	"0805C110"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"110"	""	""	"2"	""	""	"145"	""	""	"265"	""	""	"141"	""	""	"59"	""	""	"negative mode"	""	""	"0805C110"	"GSK_neg_block3_91.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"5"	"hour"	""	""	"1"	""	""	"8"	""	""
"90"	"LCMS preparation"	"62"	""	""	""	""	""	""	""	""	"0905C090"	"0905C090"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"90"	""	""	"2"	""	""	"120"	""	""	"240"	""	""	"116"	""	""	"34"	""	""	"negative mode"	""	""	"0905C090"	"GSK_neg_block1_23r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"5"	"hour"	""	""	"1"	""	""	"9"	""	""
"246"	"LCMS preparation"	"206"	""	""	""	""	""	""	""	""	"1008A246"	"1008A246"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"246"	""	""	"4"	""	""	"321"	""	""	"655"	""	""	"317"	""	""	"49"	""	""	"negative mode"	""	""	"1008A246"	"GSK_neg_block3_48.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"8"	"hour"	""	""	"1"	""	""	"10"	""	""
"173"	"LCMS preparation"	"213"	""	""	""	""	""	""	""	""	"1408D173"	"1408D173"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"173"	""	""	"3"	""	""	"227"	""	""	"454"	""	""	"223"	""	""	"48"	""	""	"negative mode"	""	""	"1408D173"	"GSK_neg_block2_75r.cdf"	"1"	""	""	"no food intake; no exercise"	""	""	"D"	"8"	"hour"	""	""	"1"	""	""	"14"	""	""
"8"	"LCMS preparation"	"48"	""	""	""	""	""	""	""	""	"1508C008"	"1508C008"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"8"	""	""	"1"	""	""	"14"	""	""	"25"	""	""	"11"	""	""	"20"	""	""	"negative mode"	""	""	"1508C008"	"GSK_neg_block1_69r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"8"	"hour"	""	""	"1"	""	""	"15"	""	""
"81"	"LCMS preparation"	"63"	""	""	""	""	""	""	""	""	"0108A081"	"0108A081"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"81"	""	""	"2"	""	""	"109"	""	""	"228"	""	""	"105"	""	""	"22"	""	""	"negative mode"	""	""	"0108A081"	"GSK_neg_block4_24.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"8"	"hour"	""	""	"1"	""	""	"1"	""	""
"259"	"LCMS preparation"	"119"	""	""	""	""	""	""	""	""	"0208A259"	"0208A259"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"259"	""	""	"4"	""	""	"337"	""	""	"671"	""	""	"333"	""	""	"65"	""	""	"negative mode"	""	""	"0208A259"	"GSK_neg_block2_48r.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"8"	"hour"	""	""	"1"	""	""	"2"	""	""
"272"	"LCMS preparation"	"237"	""	""	""	""	""	""	""	""	"0608B272"	"0608B272"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"272"	""	""	"4"	""	""	"353"	""	""	"687"	""	""	"349"	""	""	"81"	""	""	"negative mode"	""	""	"0608B272"	"GSK_neg_block4_20.cdf"	"1"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"8"	"hour"	""	""	"1"	""	""	"6"	""	""
"72"	"LCMS preparation"	"283"	""	""	""	""	""	""	""	""	"0708C072"	"0708C072"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"72"	""	""	"1"	""	""	"3"	""	""	"10"	""	""	"90"	""	""	"100"	""	""	"negative mode"	""	""	"0708C072"	"GSK_neg_block1_47r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"8"	"hour"	""	""	"1"	""	""	"7"	""	""
"37"	"LCMS preparation"	"123"	""	""	""	""	""	""	""	"haemolysis"	"0808C037"	"0808C037"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"37"	""	""	"1"	""	""	"50"	""	""	"62"	""	""	"47"	""	""	"57"	""	""	"negative mode"	""	""	"0808C037"	"GSK_neg_block1_39r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"8"	"hour"	""	""	"1"	""	""	"8"	""	""
"130"	"LCMS preparation"	"91"	""	""	""	""	""	""	""	""	"0908C130"	"0908C130"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"130"	""	""	"2"	""	""	"170"	""	""	"290"	""	""	"166"	""	""	"84"	""	""	"negative mode"	""	""	"0908C130"	"GSK_neg_block4_95.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"8"	"hour"	""	""	"1"	""	""	"9"	""	""
"120"	"LCMS preparation"	"136"	""	""	""	""	""	""	""	"haemolysis"	"1012A120"	"1012A120"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"120"	""	""	"2"	""	""	"157"	""	""	"277"	""	""	"153"	""	""	"71"	""	""	"negative mode"	""	""	"1012A120"	"GSK_neg_block1_70r.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"12"	"hour"	""	""	"1"	""	""	"10"	""	""
"123"	"LCMS preparation"	"287"	""	""	""	""	""	""	""	""	"1412D123"	"1412D123"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"123"	""	""	"2"	""	""	"161"	""	""	"281"	""	""	"157"	""	""	"75"	""	""	"negative mode"	""	""	"1412D123"	"GSK_neg_block4_84.cdf"	"1"	""	""	"no food intake; no exercise"	""	""	"D"	"12"	"hour"	""	""	"1"	""	""	"14"	""	""
"177"	"LCMS preparation"	"278"	""	""	"2"	""	""	""	"NO SAMPLE"	"haemolysis"	"1512C177"	"1512C177"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"177"	""	""	"3"	""	""	"232"	""	""	"459"	""	""	"228"	""	""	"53"	""	""	"negative mode"	""	""	"1512C177"	"GSK_neg_block1_28r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"12"	"hour"	""	""	"1"	""	""	"15"	""	""
"220"	"LCMS preparation"	"196"	""	""	""	""	""	""	""	""	"0112A220"	"0112A220"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"220"	""	""	"4"	""	""	"288"	""	""	"621"	""	""	"284"	""	""	"15"	""	""	"negative mode"	""	""	"0112A220"	"GSK_neg_block1_58r.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"12"	"hour"	""	""	"1"	""	""	"1"	""	""
